fecha,hora,precio_spot_despacho,generadora_despacho,precio_spot_posdespacho,generadora_posdespacho,precio_carbon,precio_bunker,precio_referencia_ite,precio_demanda_ite,tipo_cambio
2021-07-01,00:00:00,50.38178335083332,JAGUAR ENERGY U2,39.34638736,INTERCONEXIÓN CON MÉXICO (IMPORTACIÓN EDC-I),0,0,0,0,0
2021-07-01,01:00:00,50.38178335083332,JAGUAR ENERGY U2,39.34638736,INTERCONEXIÓN CON MÉXICO (IMPORTACIÓN EDC-I),0,0,0,0,0
2021-07-01,02:00:00,50.38178335083332,JAGUAR ENERGY U2,39.34638736,INTERCONEXIÓN CON MÉXICO (IMPORTACIÓN EDC-I),0,0,0,0,0
2021-07-01,03:00:00,50.38178335083332,JAGUAR ENERGY U2,53.8762978775798,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-01,04:00:00,50.38178335083332,JAGUAR ENERGY U2,50.3817833508332,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-01,05:00:00,50.38178335083332,JAGUAR ENERGY U2,50.3817833508332,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-01,06:00:00,60.24026309090227,GENERADORA COSTA SUR,50.8248310843444,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-01,07:00:00,60.78366242075115,GENERADORA SANTA LUCIA ,50.8248310843444,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-01,08:00:00,60.78366242075115,GENERADORA SANTA LUCIA ,50.8248310843444,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-01,09:00:00,54.09284087915004,LA LIBERTAD,60.2402630909022,GENERADORA COSTA SUR,0,0,0,0,0
2021-07-01,10:00:00,60.24026309090227,GENERADORA COSTA SUR,60.7836624207511,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,11:00:00,60.24026309090227,GENERADORA COSTA SUR,60.7836624207511,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,12:00:00,60.24026309090227,GENERADORA COSTA SUR,60.7836624207511,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,13:00:00,60.24026309090227,GENERADORA COSTA SUR,60.7836624207511,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,14:00:00,60.24026309090227,GENERADORA COSTA SUR,60.7836624207511,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,15:00:00,60.24026309090227,GENERADORA COSTA SUR,62.53636608,CHIXOY,0,0,0,0,0
2021-07-01,16:00:00,60.24026309090227,GENERADORA COSTA SUR,60.7836624207511,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,17:00:00,50.82483108434448,JAGUAR ENERGY U2,60.2402630909022,GENERADORA COSTA SUR,0,0,0,0,0
2021-07-01,18:00:00,59.24323135965709,GENERADORA COSTA SUR,60.5990804620303,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,19:00:00,62.67740354186441,CHIXOY,62.67740354,CHIXOY,0,0,0,0,0
2021-07-01,20:00:00,60.599080462030344,GENERADORA SANTA LUCIA ,62.67740354,CHIXOY,0,0,0,0,0
2021-07-01,21:00:00,59.24323135965709,GENERADORA COSTA SUR,60.5990804620303,GENERADORA SANTA LUCIA,0,0,0,0,0
2021-07-01,22:00:00,50.38178335083332,JAGUAR ENERGY U2,58.6163406929221,GENERADORA COSTA SUR,0,0,0,0,0
2021-07-01,23:00:00,50.38178335083332,JAGUAR ENERGY U2,50.3817833508332,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-02,00:00:00,50.40462819264106,JAGUAR ENERGY U2,53.9007272530474,JAGUAR ENERGY U2,0,0,0,0,0
2021-07-02,01:00:00,50.40462819264106,JAGUAR ENERGY U2,39.49689486,INTERCONEXIÓN CON MÉXICO (IMPORTACIÓN EDC-I),0,0,0,0,0
2021-07-02,02:00:00,50.40462819264106,JAGUAR ENERGY U2,39.49689486,INTERCONEXIÓN CON MÉXICO (IMPORTACIÓN EDC-I),0,0,0,0,0
2021-07-02,03:00:00,50.40462819264106,JAGUAR ENERGY U2,53.9007272530474,JAGUAR ENERGY U2,0,0,0,0,0
