fecha,hora,precio_spot_despacho,generadora_despacho,precio_spot_posdespacho,generadora_posdespacho,precio_carbon,precio_bunker,precio_referencia_ite,precio_demanda_ite,tipo_cambio
2025-01-01,00:00:00,40.812133950734506,ENERGÍA DEL CARIBE,17.31027891,HIDROELÉCTRICA GUAYACÁN,0,0,0,0,0
2025-01-01,01:00:00,40.812133950734506,ENERGÍA DEL CARIBE,17.31027891,HIDROELÉCTRICA GUAYACÁN,0,0,0,0,0
2025-01-01,02:00:00,38.71968998448517,TRINIDAD BLOQUE 5,17.31027891,HIDROELÉCTRICA GUAYACÁN,0,0,0,0,0
2025-01-01,03:00:00,33.85550153555014,OCULTUN,17.31027891,HIDROELÉCTRICA GUAYACÁN,0,0,0,0,0
2025-01-01,04:00:00,33.85550153555014,OCULTUN,2.56893658,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,05:00:00,33.85550153555014,OCULTUN,2.56893658,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,06:00:00,17.651688560235616,HIDROELÉCTRICA GUAYACÁN,2.58392001,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,07:00:00,17.651688560235616,HIDROELÉCTRICA GUAYACÁN,2.58392001,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,08:00:00,17.651688560235616,HIDROELÉCTRICA GUAYACÁN,2.58392001,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,09:00:00,38.94859384707628,TRINIDAD BLOQUE 5,2.58392001,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,10:00:00,38.94859384707628,TRINIDAD BLOQUE 5,2.58392001,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,11:00:00,38.94859384707628,TRINIDAD BLOQUE 5,2.58392001,MAGDALENA BLOQUE 6,0,0,0,0,0
2025-01-01,12:00:00,38.94859384707628,TRINIDAD BLOQUE 5,23.00435662,EL SALTO,0,0,0,0,0
2025-01-01,13:00:00,38.94859384707628,TRINIDAD BLOQUE 5,23.00435662,EL SALTO,0,0,0,0,0
2025-01-01,14:00:00,38.94859384707628,TRINIDAD BLOQUE 5,23.00435662,EL SALTO,0,0,0,0,0
2025-01-01,15:00:00,38.94859384707628,TRINIDAD BLOQUE 5,23.00435662,EL SALTO,0,0,0,0,0
2025-01-01,16:00:00,38.94859384707628,TRINIDAD BLOQUE 5,35.7504345,OCULTUN,0,0,0,0,0
2025-01-01,17:00:00,38.94859384707628,TRINIDAD BLOQUE 5,38.94859385,TRINIDAD BLOQUE 5,0,0,0,0,0
2025-01-01,18:00:00,41.12219822553896,ENERGÍA DEL CARIBE,53.63611105,CHIXOY,0,0,0,0,0
2025-01-01,19:00:00,41.12219822553896,ENERGÍA DEL CARIBE,60.4082804068048,JAGUAR ENERGY U2,0,0,0,0,0
2025-01-01,20:00:00,41.12219822553896,ENERGÍA DEL CARIBE,122.53439088,ARIZONA,0,0,0,0,0
2025-01-01,21:00:00,41.12219822553896,ENERGÍA DEL CARIBE,122.53439088,ARIZONA,0,0,0,0,0
