fecha,turbina_vapor,turbina_gas,geotermica,solar,eolica,plantas_hidraulicas,motores_reciprocantes,importaciones_sin,exportaciones_sin,demanda_maxima_sni,subtotal_generacion_sni
05/01/2021,13207.56,7.800000000000001,716.785,508.2,1834.095,15341.175,23.8,1755.73,-2403.155,1672.05,31639.414999999997
08/01/2021,13613.725,21.22,725.675,469.61,1836.23,15161.115,413.575,1454.03,-2504.58,1629.8,32241.15
10/01/2021,10731.84,0.0,738.08,659.43,1441.06,14215.3575,23.65,445.175,-1558.955,1506.69,27809.4175
06/01/2021,13744.975,0.0,747.3775,491.90000000000003,683.37,15111.5525,22.7,2355.925,-2218.6,1686.66,30801.875
07/01/2021,14104.95,30.4,738.995,531.4300000000001,304.695,15590.355,402.90000000000003,1104.925,-1570.34,1664.85,31703.725000000002
02/01/2021,9691.76,0.0,711.165,434.805,998.09,14548.9,19.200000000000003,263.3,-1232.92,1469.1750000000002,26403.92
03/01/2021,10650.0,0.0,708.7475000000001,484.40000000000003,1586.6200000000001,12934.6525,17.2,654.6625,-1337.4925,1464.4725,26381.62
04/01/2021,12636.785,12.815000000000001,715.1525,487.74,1134.605,14762.91,200.2275,2079.2599999999998,-1704.105,1651.4750000000001,29950.235
01/01/2021,9352.025,0.0,729.675,0.0,71.4,13535.025,48.9,293.425,-1251.76,1315.075,23737.024999999998
09/01/2021,11554.605,0.0,732.545,592.095,2329.18,14801.25,21.9,231.29999999999998,-1789.535,1543.4750000000001,30031.575
14/01/2021,12955.125,0.0,586.78,577.25,1588.525,15300.725,19.200000000000003,3307.45,-2303.9,1688.8,31027.605
15/01/2021,13384.925,37.325,599.485,543.9,808.43,14518.755,1473.975,3068.8,-2180.375,1697.225,31366.795
12/01/2021,13415.7475,0.0,717.6525,575.11,2433.0375,15180.4625,41.019999999999996,1272.3725,-2089.3975,1677.69,32363.03
11/01/2021,12631.8875,0.0,720.3425,622.1,1552.465,16172.76,44.125,1759.535,-2565.99,1691.8775,31743.68
18/01/2021,12797.775,25.71,723.4,668.105,2250.295,15702.155,410.3,1117.7150000000001,-2326.06,1675.9,32577.74
16/01/2021,12479.125,0.0,737.25,487.05,2267.1,13992.085000000001,24.6,1639.68,-1629.955,1554.125,29987.21
17/01/2021,12225.275,0.0,736.74,569.01,1441.505,13226.55,19.8,1011.46,-1744.2925,1485.415,28218.879999999997
19/01/2021,13410.4575,0.0,704.32,588.85,2282.64,15311.0275,22.1,2151.5975,-2242.065,1703.9975,32319.395
13/01/2021,13402.744999999999,0.0,575.08,623.1,2168.2025,14721.5575,21.5,2376.6349999999998,-2076.28,1685.035,31512.185
21/01/2021,13582.005,0.0,701.065,659.2,2180.535,15760.0025,23.8,2986.4900000000002,-3630.13,1681.99,32906.6075
20/01/2021,13639.065,0.0,712.565,671.14,2459.975,15790.525,23.6,2264.82,-3586.57,1693.545,33296.87
27/01/2021,17504.8325,25.25,710.0575,631.66,476.9175,13242.66,814.835,2721.7375,-3341.7174999999997,1712.595,33406.2125
25/01/2021,15083.03,37.5,732.12,518.065,296.035,14178.13,1804.6299999999999,2067.66,-2761.245,1714.3,32649.51
22/01/2021,14306.62,3.85,712.95,676.3,756.5,15452.915,1374.0925,2572.7475,-3111.635,1702.7,33283.2275
24/01/2021,14230.51,10.0,727.765,661.02,927.525,11302.86,212.47,985.495,-1354.68,1532.3500000000001,28072.15
23/01/2021,14290.945,0.0,727.24,606.13,762.98,12363.45,20.7,2733.2,-1245.79,1594.575,28771.445
26/01/2021,16482.74,40.0,721.6075,653.695,56.015,13543.665,2634.165,1859.82,-3298.9825,1722.7575,34131.887500000004
29/01/2021,16411.48,89.825,702.09,697.65,1976.93,10993.215,978.1899999999999,3407.875,-3705.16,1604.6,31849.38
30/01/2021,13263.425,53.75,727.175,679.6,1884.575,9311.15,2488.6,3389.125,-1626.775,1574.575,28408.274999999998
28/01/2021,16892.125,55.8275,665.4675,645.8,1958.4075,11655.8375,711.7875,3207.9375,-3660.035,1649.6575,32585.2525
31/01/2021,12988.925,9.450000000000001,725.465,677.4,1298.875,10931.8,20.3,1577.27,-1261.97,1485.075,26652.215
05/02/2021,18009.29,12.8,730.8050000000001,627.52,145.135,12899.5075,214.285,1888.215,-2582.2625,1698.8475,32639.3425
01/02/2021,15048.3,15.0,697.475,612.5,2239.6,12138.575,19.200000000000003,2976.825,-2474.15,1681.0,30770.65
02/02/2021,15858.175,25.0,741.0525,683.39,2038.83,12647.1725,25.16,3417.6425,-3552.1175,1662.1100000000001,32018.78
06/02/2021,17691.46,0.0,732.425,666.55,130.835,10438.130000000001,128.025,2647.5,-1932.455,1603.45,29787.425
04/02/2021,17560.545,47.5,732.715,645.9,325.425,12927.3275,279.8975,1986.7,-2605.68,1669.5825,32519.309999999998
03/02/2021,15896.49,35.475,746.78,682.85,1682.875,13607.880000000001,31.8,2769.69,-3684.235,1672.55,32684.15
08/02/2021,18174.025,45.0,688.585,618.3,997.105,11970.16,863.61,1741.705,-2725.97,1741.15,33356.785
09/02/2021,17656.329999999998,59.675,694.46,530.61,333.805,12065.345,2223.8,1967.71,-2294.39,1728.5,33564.024999999994
12/02/2021,18480.7975,54.875,699.5075,540.39,159.0775,11467.3575,2825.4375,2336.22,-3218.7025,1740.39,34227.4425
07/02/2021,17095.275,0.0,707.475,669.0,557.075,9167.625,20.3,2305.9,-2269.25,1541.625,28216.75
13/02/2021,19090.005,60.0,727.0425,594.64,156.7725,9565.015,5175.6225,-18.46,-4582.14,1591.9075,35369.0975
14/02/2021,19682.55,60.0,765.2,670.9,128.335,8589.535,759.33,136.75,-2303.995,1547.4,30655.85
16/02/2021,20717.35,60.0,756.58,643.96,308.36,11627.195,2302.62,7.0,-3766.785,1735.5,36416.064999999995
10/02/2021,18320.685,59.65,703.395,564.54,315.46999999999997,12469.675,1096.155,2579.7599999999998,-2939.455,1686.0249999999999,33529.57
11/02/2021,18923.055,52.5,711.565,623.4,130.2025,11973.945,1700.92,2291.4,-3112.82,1736.7525,34115.5875
19/02/2021,21027.505,45.0,744.45,213.04500000000002,1666.71,12643.67,3061.695,0.0,-6049.34,1681.15,39402.075000000004
20/02/2021,16521.0775,0.0,725.9775,406.77,2216.1349999999998,13353.5275,21.0,241.22,-3208.5525,1578.155,33244.4875
21/02/2021,16516.765,0.0,747.4225,727.54,1645.7075,10882.8025,19.900000000000002,52.0,-2683.5275,1528.6924999999999,30540.1375
18/02/2021,20974.205,56.875,762.7225,583.5550000000001,123.84,12062.605,4323.6849999999995,0.0,-4888.0325,1766.6399999999999,38887.4875
15/02/2021,20938.3,60.975,746.975,702.5,116.3,11046.875,2718.4,6.2,-4409.775,1721.425,36330.325
17/02/2021,20843.48,61.800000000000004,766.75,524.5649999999999,162.845,11756.545,1984.16,313.405,-2878.735,1750.425,36100.145
23/02/2021,19838.35,60.0,736.075,725.1,2288.425,11718.66,728.115,552.575,-4104.715,1721.275,36094.725
26/02/2021,20088.415,60.0,760.125,565.21,1601.425,12017.1,674.115,1096.505,-3677.2200000000003,1729.275,35766.39
24/02/2021,19675.17,52.5,736.015,741.395,2261.665,11986.1,780.45,785.51,-3901.31,1745.7,36233.295
22/02/2021,20186.695,42.5,748.35,703.5,1622.305,11899.665,308.07,223.535,-3544.485,1727.45,35511.085
27/02/2021,17099.5575,57.5,744.915,698.8100000000001,928.235,11319.3775,1379.6925,760.3675000000001,-2222.0175,1612.2875000000001,32228.0875
25/02/2021,19975.055,60.0,738.3100000000001,714.6999999999999,2301.62,11336.865,501.255,932.31,-3507.535,1724.805,35627.805
28/02/2021,16873.7875,0.0,743.055,626.6,432.825,9746.08,869.65,1001.8075,-1546.5375,1560.0825,29291.997499999998
01/03/2021,17115.96,0.0,737.5625,589.59,412.3675,12872.515,3046.065,443.6975,-2197.445,1750.6274999999998,34774.06
02/03/2021,19531.075,0.0,736.445,609.05,1022.955,11839.289999999999,398.53000000000003,980.25,-1690.165,1767.95,34137.345
03/03/2021,20871.225,0.0,704.3,511.0,1726.325,10208.55,323.425,2092.35,-2649.8,1753.65,34344.825
05/03/2021,20736.575,24.925,760.34,759.83,719.015,10463.705,991.8,1982.385,-3502.29,1715.5,34456.19
04/03/2021,20901.925,0.0,736.28,715.225,1693.085,10193.495,751.3,1177.265,-3102.02,1729.225,34991.31
08/03/2021,18587.5,46.0,745.2675,574.6,2521.7575,9521.1075,19.200000000000003,2805.5075,-2731.53,1716.78,32015.4325
09/03/2021,18651.1925,42.5,759.08,630.5,2469.07,10006.9875,22.03,3415.975,-3326.775,1731.5425,32581.36
07/03/2021,17832.235,27.5,740.9075,619.265,2306.0275,7409.8875,19.6,1515.7,-2231.96,1522.2500000000002,28955.4225
06/03/2021,19765.935,59.375,746.6475,719.875,873.215,8551.960000000001,76.59,2915.2925,-2679.015,1625.985,30793.597500000003
13/03/2021,16849.49,58.125,713.185,470.505,1837.3,9377.805,23.6,4202.2225,-2376.26,1598.7175,29330.010000000002
10/03/2021,19249.64,45.0,757.015,457.2,1906.04,10479.865,23.2,3643.2400000000002,-3563.285,1678.725,32917.96
